Name,Pos,Drafted,Retired,Pick,Peak Year,Team,G,MP,PTS,TRB,AST,PER,EWA,WS,WS/48,Total G,Total MP,Total PTS,Total TRB,Total AST,Total PER,Total EWA,Total WS,Total WS/48
LeBron James,F,2003,N,1,2009,CLE,81,37.7,28.4,7.6,7.2,31.7,25.2,20.2,0.317,1421,38.1,27.2,7.5,7.3,27.2,349.2,255.2,0.226
Kareem Abdul-Jabbar,C,1969,Y,1,1972,MIL,81,44.2,34.8,16.6,4.6,29.9,27.5,25.4,0.34,1560,36.8,24.6,11.2,3.6,24.6,319.8,273.5,0.229
Michael Jordan,GF,1984,Y,1,1988,CHI,82,40.4,35,5.5,5.9,31.7,27.9,21.3,0.309,1072,38.3,30.1,6.2,5.3,27.9,284,214.1,0.251
Kobe Bryant,GF,1996,Y,13,2006,LAL,80,41,35.4,5.3,4.5,28,22.8,15.3,0.224,1346,36.1,25,5.2,4.7,22.9,240.2,172.9,0.171
Tim Duncan,FC,1997,Y,1,2002,SA,82,40.6,25.5,12.7,3.7,27,21.1,17.8,0.257,1392,34,19,10.8,3,24.2,248.2,206.4,0.209
Chris Paul,PG,2005,N,4,2009,NOL,78,38.5,22.8,5.5,11,30,22.7,18.3,0.293,1214,34.4,17.9,4.5,9.5,24.3,221.9,205.1,0.236
Wilt Chamberlain,C,1959,Y,3,1962,GS,80,48.5,50.4,25.7,2.4,32.1,33.2,23.1,0.286,1045,45.8,30.1,22.9,4.4,26.2,296.3,247.4,0.248
Kevin Garnett,FC,1995,Y,5,2004,MIN,82,39.4,24.2,13.9,5,29.4,23.6,18.4,0.273,1462,34.5,17.8,10,3.7,22.7,232.9,191.5,0.182
Jerry West,G,1960,Y,2,1966,LAL,79,40.7,31.3,7.1,6.1,24.6,17.7,17.1,0.255,932,39.2,27,5.8,6.7,22.9,177.1,162.3,0.213
Oscar Robertson,PG,1960,Y,1,1964,SAC,79,45.1,31.4,9.9,11,27.6,23.5,20.6,0.278,1040,42.2,25.7,7.5,9.5,23.2,213.1,189.1,0.207
Karl Malone,PF,1985,Y,13,1997,UTA,82,36.6,27.4,9.9,4.5,28.9,20.8,16.7,0.267,1476,37.2,25,10.1,3.6,23.9,270.6,234.9,0.206
Shaquille O'Neal,C,1992,Y,1,2000,LAL,79,40,29.7,13.6,3.8,30.6,25.2,18.7,0.284,1207,34.7,23.7,10.9,2.5,26.4,264.1,181.8,0.208
Stephen Curry,PG,2009,N,7,2016,GS,79,34.2,30.1,5.4,6.7,31.5,22,17.9,0.318,882,34.4,24.6,4.7,6.5,23.9,155,128,0.203
Kevin Durant,GF,2007,N,2,2014,OKC,81,38.5,32,7.4,5.5,29.8,24,19.2,0.295,986,36.7,27.3,7.1,4.3,25.3,213.1,161.7,0.215
Magic Johnson,GF,1979,Y,1,1987,LAL,80,36.3,23.9,6.3,12.2,27,19.1,15.9,0.263,906,36.7,19.5,7.2,11.2,24.1,180.1,156.1,0.225
Larry Bird,F,1978,Y,6,1988,BOS,76,39,29.9,9.3,6.1,27.8,19.8,15,0.243,897,38.4,24.3,10,6.3,23.5,171.4,145.7,0.203
Dirk Nowitzki,FC,1998,Y,9,2006,DAL,81,38.1,26.6,9,2.8,28.1,21,17.8,0.277,1522,33.8,20.7,7.5,2.4,22.4,232.8,206.3,0.193
John Stockton,PG,1984,Y,16,1991,UTA,82,37.8,17.2,2.9,14.2,23.4,15.3,14.1,0.218,1504,31.8,13.1,2.7,10.5,21.8,206,207.7,0.209
David Robinson,C,1987,Y,1,1994,SA,80,40.5,29.8,10.7,4.8,30.7,25.9,20,0.296,987,34.7,21.1,10.6,2.5,26.2,212.4,178.6,0.25
